,scene_breaks,has_caps,has_summ,soap_central,soapcentral_condensed,tvmega_recap,tvdb,n_scenes,n_lines,n_chars,n_chars_per_scene,duration_raw,duration,split,usable
atwt-06-29-01,implicit,True,True,True,True,False,False,36,421,27,43.111111111111114,failed video read,failed video read,nelly-excluded,False
atwt-01-01-04,implicit,False,False,False,False,False,False,36,288,17,43.94444444444444,3298.719637,54m 58.72s,nelly-excluded,False
atwt-01-02-03,implicit,True,True,True,True,False,True,24,328,18,45.0,3336.196644,55m 36.20s,train,True
atwt-01-02-04,explicit,False,True,False,False,True,False,24,354,22,46.041666666666664,3343.766349,55m 43.77s,nelly-excluded,False
atwt-01-02-08,explicit,True,True,True,True,True,False,30,428,21,44.56666666666667,3533.960998,58m 53.96s,train,True
atwt-01-02-09,explicit,True,True,False,False,True,False,30,500,19,45.833333333333336,3541.205624,59m 1.21s,train,True
atwt-01-03-03,implicit,True,True,False,False,False,True,20,322,20,47.0,3383.751111,56m 23.75s,train,True
atwt-01-03-05,explicit,True,True,True,True,True,True,26,398,21,45.19230769230769,2333.582222,38m 53.58s,test,True
atwt-01-03-06,implicit,True,True,True,True,False,False,25,350,14,44.56,3534.936236,58m 54.94s,nelly-excluded,True
atwt-01-03-07,explicit,True,True,True,True,True,False,25,398,20,47.12,3534.448617,58m 54.45s,train,True
atwt-01-03-08,explicit,True,True,False,False,True,False,34,393,12,43.73529411764706,3534.959456,58m 54.96s,train,True
atwt-01-04-05,explicit,True,True,True,True,True,True,23,305,24,44.47826086956522,2336.136417,38m 56.14s,test,True
atwt-01-04-06,implicit,True,True,True,True,False,False,22,415,12,45.18181818181818,3534.448617,58m 54.45s,nelly-excluded,True
atwt-01-04-08,explicit,True,True,False,False,True,False,39,401,20,42.07692307692308,3534.982676,58m 54.98s,train,True
atwt-01-04-10,explicit,True,True,True,True,True,False,24,473,17,45.208333333333336,3533.798458,58m 53.80s,test,True
atwt-01-05-04,explicit,False,True,True,True,True,False,26,383,16,45.23076923076923,3338.263220,55m 38.26s,nelly-excluded,False
atwt-01-05-05,explicit,True,True,True,True,True,True,27,387,17,44.51851851851852,2333.582222,38m 53.58s,test,True
atwt-01-05-06,implicit,True,True,True,True,False,False,28,302,16,42.17857142857143,3533.984218,58m 53.98s,nelly-excluded,True
atwt-01-05-09,explicit,True,True,True,True,True,False,26,579,18,46.07692307692308,3529.804626,58m 49.80s,train,True
atwt-01-05-10,explicit,True,True,True,True,True,False,28,389,19,43.607142857142854,3533.148299,58m 53.15s,test,True
atwt-01-06-03,implicit,True,True,True,True,False,True,25,289,17,44.92,3366.707664,56m 6.71s,train,True
atwt-01-06-05,explicit,True,True,True,True,True,True,29,442,22,45.206896551724135,2296.081995,38m 16.08s,test,True
atwt-01-06-09,explicit,True,True,True,True,True,False,25,358,13,45.48,3533.380499,58m 53.38s,train,True
atwt-01-06-10,explicit,False,True,True,True,True,False,31,375,17,43.225806451612904,3533.310839,58m 53.31s,nelly-excluded,False
atwt-01-07-03,implicit,True,True,True,True,False,True,20,321,18,47.15,3408.782222,56m 48.78s,train,True
atwt-01-07-04,explicit,True,True,True,True,True,False,29,405,25,44.172413793103445,3340.236916,55m 40.24s,train,True
atwt-01-07-05,explicit,False,True,True,True,True,True,31,384,17,43.70967741935484,3328.255420,55m 28.26s,nelly-excluded,False
atwt-01-07-08,explicit,True,True,True,True,True,False,45,404,23,42.37777777777778,3534.936236,58m 54.94s,train,True
